,Date,AAPL,ADBE,AMZN,BA,CMCSA,CSCO,CVX,DIS,FB,GOOGL,INTC,KO,LOW,MCD,MSFT,MU,NFLX,NKE,PEP,SBUX,T,TGT,VZ,WMT,XOM,Mean Rating,Mean Description,# of Ratings,Buy (%),Overweight (%),Hold (%),Underweight (%),Sell (%),Mean Tgt Price,# of Tgt Prices,Tgt Price Implied Return (%),0 days,1 days,7 days,30 days
0,2014-12-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,Overweight ,50,66.0,8.0,22.0,0.0,4.0,<function <listcomp>.<lambda> at 0x0000017E5465CF28>,43,10.3,110.379997,109.330002,107.75,117.160004
1,2015-03-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,Overweight ,49,63.3,10.2,22.4,0.0,4.1,<function <listcomp>.<lambda> at 0x0000017E54673048>,41,11.2,124.43,124.25,126.010002,125.150002
2,2015-06-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,Overweight ,51,60.8,9.8,25.5,0.0,3.9,<function <listcomp>.<lambda> at 0x0000017E546730D0>,43,17.4,125.43,126.599998,125.690002,122.370003
3,2015-09-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,Overweight ,51,68.6,9.8,17.6,0.0,3.9,<function <listcomp>.<lambda> at 0x0000017E54673158>,44,32.2,110.300003,109.580002,110.779999,119.5
4,2015-12-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,Buy ,50,74.0,8.0,16.0,0.0,2.0,<function <listcomp>.<lambda> at 0x0000017E546731E0>,43,38.4,105.260002,105.349998,96.449997,96.43
5,2016-03-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,Buy ,47,78.7,6.4,12.8,0.0,2.1,<function <listcomp>.<lambda> at 0x0000017E54673268>,41,21.9,108.989998,109.989998,108.540001,93.639999
6,2016-06-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,Buy ,44,81.8,6.8,9.1,0.0,2.3,<function <listcomp>.<lambda> at 0x0000017E546732F0>,40,27.7,95.599998,95.889999,95.940002,106.050003
7,2016-09-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,Overweight ,45,71.1,11.1,11.1,2.2,4.4,<function <listcomp>.<lambda> at 0x0000017E54673378>,39,10.7,113.050003,112.519997,114.059998,113.540001
8,2016-12-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,Overweight ,46,67.4,13.0,15.2,0.0,4.3,<function <listcomp>.<lambda> at 0x0000017E54673400>,40,12.6,115.82,116.150002,117.910004,121.629997
9,2017-03-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,Overweight ,42,64.3,11.9,23.8,0.0,0.0,<function <listcomp>.<lambda> at 0x0000017E54673488>,37,5.4,143.660004,143.699997,143.339996,146.580002
